消費品項,class
BUFFALO平口褲,衣/下身類
KAWS 休閒長褲,衣/下身類
PUMA男刷毛長褲,衣/下身類
中腰免洗棉褲,衣/下身類
平口褲,衣/下身類
休閒長褲,衣/下身類
冰涼針織簍空包臀裙,衣/下身類
花花細帶微性感泳褲,衣/下身類
科克蘭平口褲四入,衣/下身類
風神紳仕免洗平口褲,衣/下身類
風神紳仕棉褲,衣/下身類
甜辣學院毛呢百褶褲裙,衣/下身類
舒芙蕾-涼感蠶絲貼合褲,衣/下身類
酷狗寶貝牛仔吊帶褲,衣/下身類
牛仔長褲,衣/下身類
休閒短褲,衣/下身類
棉質運動褲,衣/下身類
內搭褲,衣/下身類
正式西裝褲,衣/下身類
迷彩長褲,衣/下身類
高腰牛仔褲,衣/下身類
七分運動褲,衣/下身類
五分短褲,衣/下身類
哈倫褲,衣/下身類
工裝褲,衣/下身類
九分縮口褲,衣/下身類
直筒牛仔褲,衣/下身類
毛呢長褲,衣/下身類
寬鬆運動褲,衣/下身類
防水登山褲,衣/下身類
透氣跑步褲,衣/下身類
騎行緊身褲,衣/下身類
棉質睡褲,衣/下身類
羊毛保暖長褲,衣/下身類
高腰短褲,衣/下身類
西裝裙褲,衣/下身類
內襯安全褲,衣/下身類
瑜珈褲,衣/下身類
彈性縮口褲,衣/下身類
燈籠褲,衣/下身類
修身小腳褲,衣/下身類
寬褲,衣/下身類
格紋休閒褲,衣/下身類
龍蝦褲（束口褲）,衣/下身類
【adidas 愛迪達】慢跑鞋 運動鞋,衣/其它
【Jun Jun】蠶絲小方巾 絲巾 領巾,衣/其它
【P&G】ARIEL/BOLD 4D袋裝洗衣球,衣/其它
【UNDER ARMOUR】 UA 男女款 慢跑鞋 運動鞋,衣/其它
CROCODILE都會迷彩前開式雨衣,衣/其它
MUJI無印良品迷你洗衣板,衣/其它
PUMA男短襪八雙入,衣/其它
丁晴橡膠手套,衣/其它
日拋中筒免洗襪,衣/其它
半統襪,衣/其它
白色U領內衣,衣/其它
白蘭洗衣球白茶,衣/其它
白蘭洗衣球玫瑰,衣/其它
白蘭強效潔淨超濃,衣/其它
休閒襪,衣/其它
成人PE輕巧雨衣,衣/其它
防走光矽膠胸貼,衣/其它
花花削肩美胸比基尼,衣/其它
服裝,衣/其它
服飾,衣/其它
服飾品,衣/其它
兩穿式軟鋼圈成套內衣,衣/其它
洗衣服,衣/其它
活力免洗船型襪,衣/其它
家家用高級衣架彩色,衣/其它
帶胸墊睡衣 睡衣女夏季 短袖薄款 春夏天 純棉睡衣 女士睡衣,衣/其它
悠活緩壓室外拖鞋,衣/其它
清秀佳人-三角免洗褲,衣/其它
圍巾,衣/其它
無鋼圈內衣,衣/其它
琨蒂絲美腿魅惑小網彈性褲襪,衣/其它
萬聖變裝,衣/其它
運動休閒裝,衣/其它
愛德利亞STUDIOCLIP服飾,衣/其它
新式運動鞋,衣/其它
睡衣女夏季 短袖短裤睡衣 带胸垫,衣/其它
精品免洗休閒襪,衣/其它
鞋履,衣/其它
顯瘦增高時尚跟鞋 低跟包鞋 微方頭平底休閒鞋 禮鞋,衣/其它
襪子（短襪）,衣/其它
襪子（長襪）,衣/其它
秋冬毛襪,衣/其它
隱形襪,衣/其它
壓力襪,衣/其它
保暖內衣褲,衣/其它
內衣（無鋼圈）,衣/其它
內衣（運動型）,衣/其它
內褲（四角）,衣/其它
內褲（三角）,衣/其它
睡衣套裝,衣/其它
居家服,衣/其它
防曬手套,衣/其它
毛線帽,衣/其它
遮陽帽,衣/其它
防水鞋套,衣/其它
腰帶,衣/其它
皮革手套,衣/其它
紗裙內襯,衣/其它
內衣肩帶,衣/其它
吸汗內襯墊,衣/其它
腳底隱形鞋墊,衣/其它
透氣運動內衣,衣/其它
抗菌內衣褲,衣/其它
棉質睡帽,衣/其它
護膝（運動用）,衣/其它
運動護腕,衣/其它
台鐵區間車票（基隆 → 台北）,行/台鐵
台鐵自強號車票（台中 → 高雄）,行/台鐵
台鐵月台票,行/台鐵
台鐵便當（鐵路餐飲）,行/台鐵
台鐵觀光列車（環島之星）,行/台鐵
台鐵復興號車票（花蓮 → 台東）,行/台鐵
台鐵觀光列車（仲夏寶島號）,行/台鐵
台鐵鐵道紀念品購買,行/台鐵
台鐵站內自動售票機購票,行/台鐵
台鐵車廂內零食購買,行/台鐵
台鐵行李托運服務,行/台鐵
台鐵車廂升等（商務座）,行/台鐵
台鐵團體票（學校包車）,行/台鐵
台鐵訂票手續費,行/台鐵
台鐵電子票券充值,行/台鐵
台鐵電子票卡購買,行/台鐵
台鐵通勤族定期票,行/台鐵
台鐵觀光列車（太魯閣號）,行/台鐵
台鐵郵輪式列車票,行/台鐵
台鐵車站手推車租借,行/台鐵
台鐵自行車攜帶票,行/台鐵
台鐵車站儲物櫃租借,行/台鐵
台鐵候車室飲料購買,行/台鐵
台鐵平日早鳥票,行/台鐵
台鐵兒童優惠票,行/台鐵
台鐵車站接駁車,行/台鐵
台鐵車內點心購買,行/台鐵
台鐵旅遊套票（車票 + 門票）,行/台鐵
台鐵團體旅遊票,行/台鐵
台鐵公司福利票,行/台鐵
台鐵學生票（校外教學）,行/台鐵
台鐵車站周邊旅遊導覽,行/台鐵
台鐵列車內便當預訂,行/台鐵
台鐵票務更改手續費,行/台鐵
台鐵臥鋪車廂票,行/台鐵
台鐵國際遊客通行卡,行/台鐵
台鐵車廂內咖啡購買,行/台鐵
台鐵會員積分兌換票,行/台鐵
台鐵家庭套票,行/台鐵
台鐵觀光列車特色便當,行/台鐵
台鐵長者優惠票,行/台鐵
台鐵站內自動售票機充值,行/台鐵
台鐵列車內Wi-Fi使用費,行/台鐵
台鐵特殊行程包車票,行/台鐵
台鐵站內便當預購服務,行/台鐵
台鐵自助售票機充值,行/台鐵
台鐵平日促銷票,行/台鐵
台鐵貓空觀光列車票,行/台鐵
台鐵手工月台票（限量版）,行/台鐵
台鐵特快車優惠票,行/台鐵
台鐵節日加班車票,行/台鐵
台鐵行李保險服務,行/台鐵
台鐵綠島號船車聯票,行/台鐵
台鐵列車內冷飲購買,行/台鐵
台鐵推車租借服務,行/台鐵
台鐵站內按摩椅使用費,行/台鐵
台鐵青年旅行卡,行/台鐵
台鐵車票優惠券兌換,行/台鐵
台鐵公司員工折扣票,行/台鐵
台鐵觀光列車車廂租賃,行/台鐵
台鐵列車內圖書借閱服務,行/台鐵
台鐵團體旅遊票申請費,行/台鐵
台鐵長程旅遊行李配送,行/台鐵
台鐵站內便利店消費,行/台鐵
自行車輪胎更換,行/自行車
自行車打氣站費用,行/自行車
自行車燈具購買,行/自行車
自行車車架維修,行/自行車
自行車變速器更換,行/自行車
自行車車座升級,行/自行車
自行車剎車線維修,行/自行車
自行車行李架購買,行/自行車
自行車水壺架購買,行/自行車
自行車夜間反光條,行/自行車
自行車運動眼鏡購買,行/自行車
自行車專業手套,行/自行車
自行車防水車罩,行/自行車
自行車折疊鎖購買,行/自行車
自行車車鈴購買,行/自行車
自行車擋泥板安裝,行/自行車
自行車鏈條潤滑劑,行/自行車
自行車車燈更換,行/自行車
自行車水壺座安裝,行/自行車
自行車修理工具組,行/自行車
自行車專用頭盔,行/自行車
自行車運動手套,行/自行車
自行車專用踏板,行/自行車
自行車輪胎氣嘴,行/自行車
自行車手機支架購買,行/自行車
自行車碼表（速度計）,行/自行車
自行車變速器調整服務,行/自行車
自行車防水車包,行/自行車
自行車腳踏板更換,行/自行車
自行車鏈條清潔工具,行/自行車
自行車專用車架安裝,行/自行車
自行車兒童座椅購買,行/自行車
自行車防曬座墊,行/自行車
自行車專用鎖（密碼鎖）,行/自行車
自行車騎行眼鏡,行/自行車
自行車運動帽（頭巾）,行/自行車
自行車風鏡（擋風）,行/自行車
自行車反光條購買,行/自行車
自行車避震系統升級,行/自行車
自行車車座海綿墊,行/自行車
自行車專業維修工具,行/自行車
自行車打氣筒購買,行/自行車
自行車摺疊工具包,行/自行車
自行車專用車廂（置物箱）,行/自行車
自行車車輪軸承購買,行/自行車
自行車避震器升級,行/自行車
自行車碟煞更換,行/自行車
自行車鏈條潤滑劑購買,行/自行車
自行車車燈安裝服務,行/自行車
自行車變速系統調整,行/自行車
自行車車座套購買,行/自行車
自行車水壺架固定器,行/自行車
自行車兒童座椅維修,行/自行車
自行車防水車包購買,行/自行車
自行車手把維護,行/自行車
自行車輪胎防滑胎購買,行/自行車
自行車車鈴更換,行/自行車
自行車安全帽清潔服務,行/自行車
自行車專用雨衣購買,行/自行車
自行車專用工具組,行/自行車
自行車防盜設備安裝,行/自行車
自行車專用騎行襪,行/自行車
自行車手電筒（夜間騎行）,行/自行車
自行車停車架安裝,行/自行車
汽車加油（95 無鉛汽油）,行/汽車
汽車機油更換,行/汽車
汽車停車費（地下停車場）,行/汽車
高速公路過路費（ETC 代扣）,行/汽車
汽車保養（輪胎更換）,行/汽車
汽車美容（內裝清潔）,行/汽車
汽車雨刷更換,行/汽車
汽車輪胎平衡調整,行/汽車
高速公路計次票購買,行/汽車
汽車冷氣濾網更換,行/汽車
汽車GPS導航系統購買,行/汽車
汽車行車記錄器購買,行/汽車
汽車電瓶更換,行/汽車
汽車年檢費用,行/汽車
汽車租賃（短期租車）,行/汽車
汽車機油添加劑,行/汽車
汽車刮水器更換,行/汽車
車內空氣清新劑購買,行/汽車
汽車輪胎充氣服務,行/汽車
電動車充電服務,行/汽車
車輛拖吊服務,行/汽車
高速公路服務區停車費,行/汽車
汽車年檢排放測試費,行/汽車
車內除濕袋購買,行/汽車
汽車電子狗購買,行/汽車
汽車鑰匙電池更換,行/汽車
汽車內飾清潔服務,行/汽車
汽車冷氣維修,行/汽車
汽車暖風系統檢修,行/汽車
汽車打蠟美容,行/汽車
汽車輪圈更換,行/汽車
車窗隔熱紙貼膜,行/汽車
車內導航系統更新,行/汽車
自助洗車機使用費,行/汽車
車用手機支架購買,行/汽車
汽車擋風玻璃修復,行/汽車
汽車避震器更換,行/汽車
汽車剎車盤維修,行/汽車
車內地毯清洗服務,行/汽車
汽車遙控器購買,行/汽車
車內急救箱購買,行/汽車
汽車應急電源購買,行/汽車
汽車香氛片,行/汽車
汽車頂架安裝,行/汽車
車輛臨時泊車費,行/汽車
汽車車內香氛擴散器,行/汽車
汽車電動窗維修費,行/汽車
汽車保養（全車清潔）,行/汽車
車內USB充電裝置購買,行/汽車
汽車空調系統清洗,行/汽車
汽車音響設備升級,行/汽車
汽車後備箱儲物箱購買,行/汽車
汽車車頂行李架安裝,行/汽車
汽車車窗防爆膜貼膜,行/汽車
汽車擋風玻璃修補費,行/汽車
汽車內飾除味服務,行/汽車
汽車胎壓監測設備購買,行/汽車
車用吸塵器購買,行/汽車
汽車電瓶充電服務,行/汽車
汽車內飾氛圍燈安裝,行/汽車
汽車行李箱內墊購買,行/汽車
車內手機無線充電設備,行/汽車
汽車駕駛座靠墊購買,行/汽車
車輛美容（鍍膜服務）,行/汽車
車內急救包購買,行/汽車
遊覽車包車服務,行/其它
計程車車資（台北市區）,行/其它
客運車票（台北 → 花蓮）,行/其它
旅遊巴士票（環島旅遊）,行/其它
停車場月租費（商業大樓）,行/其它
95+無鉛,行/其它
95Plus無鉛,行/其它
95無鉛,行/其它
95無鉛汽油,行/其它
９５無鉛汽油,行/其它
98無鉛汽油,行/其它
Parking fee,行/其它
九二無鉛汽油,行/其它
九八無鉛,行/其它
九八無鉛汽油,行/其它
九五無鉛汽油,行/其它
停車場收入,行/其它
停車場費用,行/其它
停車費,行/其它
停車費用,行/其它
業外收入.停車場-新光三越-停車場收入,行/其它
旅遊巴士導覽行程,行/其它
城市觀光小火車票,行/其它
豪華郵輪船票（港澳航線）,行/其它
客運提早訂票折扣,行/其它
客運站內行李寄放費,行/其它
城市共享電動滑板車租賃,行/其它
路邊停車場掃碼繳費,行/其它
碼頭輪渡船票,行/其它
夜間計程車加成費,行/其它
長途大巴豪華座票,行/其它
客運車票（城際交通）,行/其它
計程車車資（夜間加成）,行/其它
觀光遊覽車租賃費,行/其它
碼頭渡輪票（港口間）,行/其它
城市觀光巴士票,行/其它
長途大巴車票,行/其它
旅遊巴士行程（含導覽）,行/其它
共享電動滑板車費用,行/其它
停車場月票（商場停車）,行/其它
移動電源租借（車站）,行/其它
租車服務（商務車）,行/其它
短程電動車租借費,行/其它
豪華郵輪船票（港口巡遊）,行/其它
城市輕軌車票,行/其它
路邊停車場計時費,行/其它
電動代步車租賃費,行/其它
停車場超時罰款,行/其它
碼頭貨物托運服務,行/其它
騎行共享單車費用,行/其它
共享汽車短租費,行/其它
計程車預約服務費,行/其它
旅遊接駁專車費用,行/其它
觀光火車票（懷舊列車）,行/其它
旅遊租車保險費用,行/其它
觀光纜車票,行/其它
高山滑雪纜車票,行/其它
市區小型巴士票,行/其它
旅遊景點接駁車票,行/其它
跨境大巴車票,行/其它
夜間接送服務費,行/其它
計程車拼車服務,行/其它
客運站內自動售票機購票,行/其它
旅遊巴士私人包車,行/其它
路邊停車計時收費,行/其它
共享電動腳踏車租借費,行/其它
旅遊景點接駁巴士票,行/其它
高速客運包月票,行/其它
城市交通一卡通充值,行/其它
長途大巴超重行李費,行/其它
碼頭輪渡車票,行/其它
豪華遊艇包船服務,行/其它
客運車內飲料購買,行/其它
觀光纜車票（山區景點）,行/其它
計程車預約費,行/其它
觀光遊覽船票,行/其它
旅遊巴士車票折扣券,行/其它
旅遊巴士導遊服務費,行/其它
旅遊大巴臨時購票費,行/其它
夜間巴士票,行/其它
國內機票（台北 → 高雄）,行/飛機
國際機票（桃園 → 東京）,行/飛機
機場接駁巴士票,行/飛機
託運行李費用（超重費）,行/飛機
飛機機上餐飲購買,行/飛機
飛機頭等艙升等費用,行/飛機
飛機商務艙貴賓室使用,行/飛機
機場快速通關服務,行/飛機
機場行李打包服務,行/飛機
國際航班登機行李超重費,行/飛機
飛機機上WiFi使用費,行/飛機
飛機機上免稅品購買,行/飛機
機場餐飲消費（候機室）,行/飛機
飛機行李加購額度,行/飛機
機場交通接駁（計程車）,行/飛機
飛機登機牌補發手續費,行/飛機
機場貴賓室消費,行/飛機
飛機機上電影付費,行/飛機
飛機行李超重費用,行/飛機
機場接駁車服務,行/飛機
飛機機上餐點升級,行/飛機
飛機機上購物（免稅品）,行/飛機
機場免費Wi-Fi升級服務,行/飛機
飛機寵物托運服務,行/飛機
機場航廈停車費,行/飛機
飛機票改期手續費,行/飛機
飛機票退票費用,行/飛機
飛機機上按摩椅使用費,行/飛機
機場行李推車租賃,行/飛機
機場巴士接送服務,行/飛機
飛機會員積分兌換手續費,行/飛機
機場VIP停車場使用費,行/飛機
飛機臨時票（候補票）,行/飛機
飛機機上耳機購買,行/飛機
飛機機上閱讀燈租借,行/飛機
飛機機上書籍購買,行/飛機
飛機頭等艙休息室使用,行/飛機
飛機延誤保險購買,行/飛機
飛機票務代理服務費,行/飛機
機場行李箱打包膜,行/飛機
飛機機上急救藥品購買,行/飛機
機場免費巴士服務,行/飛機
飛機機上飲用水購買,行/飛機
飛機快速登機通道費用,行/飛機
機場行李打包塑膜服務,行/飛機
飛機機上購物（香水）,行/飛機
飛機行李額度加購,行/飛機
飛機機上即時翻譯服務,行/飛機
機場休息室淋浴服務,行/飛機
飛機票升等手續費,行/飛機
飛機行李箱標籤購買,行/飛機
機場接駁車票,行/飛機
飛機機上充電設備租借,行/飛機
飛機機上餐點加點,行/飛機
飛機寵物籠租借服務,行/飛機
機場中轉酒店住宿,行/飛機
飛機頭等艙行李優先服務,行/飛機
飛機機上毛毯租用費,行/飛機
機場VIP巴士接送服務,行/飛機
飛機延誤補償服務,行/飛機
機場免稅商品預訂服務,行/飛機
飛機緊急通話服務費,行/飛機
機場快速過海關服務,行/飛機
高鐵車票（台北 → 台中）,行/高鐵
高鐵月票（通勤優惠）,行/高鐵
高鐵早鳥票（新竹 → 左營）,行/高鐵
高鐵自由座車票,行/高鐵
高鐵行李託運費,行/高鐵
高鐵定期票（桃園 → 台北）,行/高鐵
高鐵商務車廂票,行/高鐵
高鐵學生優惠票（台南 → 左營）,行/高鐵
高鐵長者優惠票（高雄 → 台中）,行/高鐵
高鐵信用卡紅利兌換票,行/高鐵
高鐵聯票（高鐵 + 台鐵）,行/高鐵
高鐵年票（企業通勤方案）,行/高鐵
高鐵特定時段優惠票（週末限定）,行/高鐵
高鐵週票（五日通勤專用）,行/高鐵
高鐵站內便當購買,行/高鐵
高鐵定期通勤票,行/高鐵
高鐵假日自由行套票,行/高鐵
高鐵旅行套票（高鐵 + 住宿）,行/高鐵
高鐵學生票（學期通行）,行/高鐵
高鐵公司團體票,行/高鐵
高鐵車站寄物服務,行/高鐵
高鐵商務車廂升等,行/高鐵
高鐵接駁巴士票,行/高鐵
高鐵車站內小吃購買,行/高鐵
高鐵網路購票手續費,行/高鐵
高鐵電子票卡充值,行/高鐵
高鐵殘障人士優惠票,行/高鐵
高鐵行李運送服務,行/高鐵
高鐵月台拍攝許可,行/高鐵
高鐵VIP候車室入場,行/高鐵
高鐵早鳥優惠票,行/高鐵
高鐵親子票（家庭優惠）,行/高鐵
高鐵員工票（公司福利）,行/高鐵
高鐵夜間列車票,行/高鐵
高鐵列車內購物,行/高鐵
高鐵國際遊客卡,行/高鐵
高鐵長距離票（跨縣市）,行/高鐵
高鐵週末票（雙日通行）,行/高鐵
高鐵觀光團體票,行/高鐵
高鐵車廂內飲料購買,行/高鐵
高鐵公司年票,行/高鐵
高鐵短程通勤票,行/高鐵
高鐵行李寄存費,行/高鐵
高鐵臨時票（即時購買）,行/高鐵
高鐵自助售票機購票,行/高鐵
高鐵站內行李寄存服務,行/高鐵
高鐵兒童車廂票,行/高鐵
高鐵VIP會員年卡,行/高鐵
高鐵聯名信用卡兌換票,行/高鐵
高鐵行李車廂預訂,行/高鐵
高鐵車站接駁計程車服務,行/高鐵
高鐵自由座升級為指定座位,行/高鐵
高鐵殘障座位預約,行/高鐵
高鐵行李超大件費用,行/高鐵
高鐵特殊行程拍攝許可,行/高鐵
高鐵員工親屬優惠票,行/高鐵
高鐵無線網路使用費,行/高鐵
高鐵專屬包車服務,行/高鐵
高鐵週年慶優惠票,行/高鐵
高鐵臨時改票手續費,行/高鐵
高鐵商務車廂早餐,行/高鐵
高鐵週末返鄉專案票,行/高鐵
高鐵環保杯購買（車內）,行/高鐵
高鐵車站自助行李秤,行/高鐵
機車加油（92 無鉛汽油）,行/機車
機車機油更換,行/機車
機車停車費（機車格）,行/機車
機車安全帽購買,行/機車
機車行車保險費,行/機車
機車煞車片更換,行/機車
機車大燈燈泡購買,行/機車
機車鏈條保養,行/機車
機車輪胎更換,行/機車
機車車廂維修,行/機車
機車腳踏墊購買,行/機車
機車停車棚月租費,行/機車
機車牌照登記費,行/機車
機車洗車服務,行/機車
機車租賃（短期租車）,行/機車
機車後視鏡更換,行/機車
機車鍊條上油,行/機車
機車座墊防水套,行/機車
機車電池維修,行/機車
機車剎車把手更換,行/機車
機車行李箱安裝,行/機車
機車風鏡清潔,行/機車
機車後座靠背購買,行/機車
機車行車記錄器,行/機車
機車輪胎補胎服務,行/機車
機車排氣管修理,行/機車
機車雨衣購買,行/機車
機車防盜鎖,行/機車
機車皮帶更換,行/機車
機車安全反光貼,行/機車
機車煞車油更換,行/機車
機車車罩購買,行/機車
機車腳踏板維修,行/機車
機車車廂墊,行/機車
機車防滑握把,行/機車
機車車架噴漆,行/機車
機車輪圈清潔劑,行/機車
機車座墊軟墊,行/機車
機車後座安全帶,行/機車
機車加速器修理,行/機車
機車胎壓計購買,行/機車
機車腳架更換,行/機車
機車音響系統,行/機車
機車擋泥板修復,行/機車
機車手機支架購買,行/機車
機車腳踏墊更換,行/機車
機車行李網購買,行/機車
機車排氣管升級,行/機車
機車鑰匙扣購買,行/機車
機車安全帽清洗服務,行/機車
機車車輪軸承更換,行/機車
機車車頭燈調整,行/機車
機車車架噴漆服務,行/機車
機車避震器維修,行/機車
機車行李箱更換,行/機車
機車剎車片維護,行/機車
機車風鏡安裝,行/機車
機車座墊升級（防水款）,行/機車
機車防滑把手購買,行/機車
機車鍊條清潔工具,行/機車
機車輪胎加壓服務,行/機車
機車電瓶救援服務,行/機車
機車騎行手套購買,行/機車
機車雨具（防水套裝）,行/機車
水費,住/水
單體馬桶水箱止水,住/水
自來水費（家庭用水）,住/水
自來水費（商業用水）,住/水
水塔清洗服務,住/水
淨水器濾芯更換,住/水
飲水機租賃費,住/水
水管漏水維修,住/水
抽水馬達維修,住/水
家用過濾水壺,住/水
辦公室飲水機,住/水
礦泉水桶裝配送,住/水
家用儲水設備,住/水
井水抽水設備維修,住/水
淋浴過濾器,住/水
飲水機加熱器維修,住/水
浴室水壓增強設備,住/水
辦公室飲水服務,住/水
水龍頭節水裝置,住/水
廚房濾水網,住/水
營業用大容量過濾水機,住/水
冷熱飲水機,住/水
飲水機紫外線消毒燈,住/水
直飲水過濾系統,住/水
水質測試服務,住/水
污水處理設備維護,住/水
水管疏通服務,住/水
太陽能熱水器維修,住/水
水管噴頭更換,住/水
自動補水系統,住/水
除氯淋浴過濾器,住/水
移動式水箱購買,住/水
天然氣,住/瓦斯
天然氣費,住/瓦斯
瓦斯費（家庭用瓦斯）,住/瓦斯
瓦斯費（商業用瓦斯）,住/瓦斯
瓦斯桶裝配送,住/瓦斯
天然氣爐具維修,住/瓦斯
瓦斯熱水器檢測,住/瓦斯
瓦斯管線安裝,住/瓦斯
天然氣設備升級,住/瓦斯
廚房燃氣爐更換,住/瓦斯
家用瓦斯安全閥,住/瓦斯
商業用瓦斯系統安裝,住/瓦斯
戶外烤肉瓦斯罐,住/瓦斯
液化石油氣補充,住/瓦斯
瓦斯管道清潔,住/瓦斯
天然氣流量計安裝,住/瓦斯
瓦斯防漏檢測服務,住/瓦斯
家庭瓦斯灶台清潔,住/瓦斯
快速瓦斯水加熱器,住/瓦斯
瓦斯安全鎖安裝,住/瓦斯
鋼瓶瓦斯替換,住/瓦斯
室內燃氣警報器,住/瓦斯
高樓層天然氣管線增壓,住/瓦斯
移動式瓦斯爐,住/瓦斯
烤箱燃氣管道檢修,住/瓦斯
瓦斯灶具耐熱墊,住/瓦斯
家庭用瓦斯節能裝置,住/瓦斯
瓦斯表租賃,住/瓦斯
瓦斯噴槍購買,住/瓦斯
移動式瓦斯爐維修,住/瓦斯
商業瓦斯爐更換,住/瓦斯
戶外露營用瓦斯設備,住/瓦斯
 白熊洗碗精,住/其它
【DR.WU 達爾膚】2%神經醯胺保濕精華,住/其它
【NIVEA 妮維雅】止汗爽身乳膏Pro升級版,住/其它
【tsaio上山採藥】五星飯店指定植萃洗沐組,住/其它
【VANA】Hygge no.19 實木款擴香儀,住/其它
ARIEL 室內補包,住/其它
ARIEL室內晾補,住/其它
CR-極簡日拋免洗毛浴巾旅行組,住/其它
DARLIE好來全亮白竹炭旅行組,住/其它
DARLIE好來全亮白清新薄荷牙膏,住/其它
DRWU角鯊潤澤修復精華油,住/其它
Embrace英柏絲特製角度款墊高枕,住/其它
INNISFREE綠茶保濕胺基酸潔面乳,住/其它
JUJULAND綠玫瑰涼感濕紙巾,住/其它
KS抽取式衛生紙,住/其它
LUSH沐浴香氛產品,住/其它
Mdmmd.抑菌衛生棉,住/其它
Mofusand貓福珊迪毛毯,住/其它
MSM麻將抱枕,住/其它
Room Charge,住/其它
SENSODYNE舒酸定進階護理強化琺瑯質牙膏,住/其它
大地沐浴乳,住/其它
大捲筒衛生紙,住/其它
五月花蓬厚柔頂級連續抽取式花紋衛生紙,住/其它
巴黎萊雅 髮芯修護強化洗前精華,住/其它
巴黎萊雅玻尿酸水光豐盈洗髮露,住/其它
木紋門簾桿,住/其它
不鏽鋼炒鍋三件組,住/其它
生活用品,住/其它
生活良好紙拖把,住/其它
生活屋長頸刷,住/其它
生活雜貨,住/其它
艾克思鋁合金吊,住/其它
好奇純水濕巾加厚型,住/其它
自白肌保濕潔顏,住/其它
住宿服務二人房,住/其它
住宿服務三人房,住/其它
住宿服務四人房,住/其它
住宿服務單人房,住/其它
我的心機極輕柔細緻洗臉巾,住/其它
沐浴乳,住/其它
男潤膚霜,住/其它
花仙子驅塵氏抗菌濕拖巾,住/其它
花語香膏薰衣草,住/其它
刷樂雙效纖柔牙刷,住/其它
刷樂纖柔牙刷,住/其它
妮維雅止汗乳膏,住/其它
妮維雅止汗爽身乳液 清新舒涼,住/其它
妮維雅止汗爽身噴霧 極限動力-極光炫藍男,住/其它
妮維雅美白潤膚乳液,住/其它
妮維雅無敵水感凝露,住/其它
房租,住/其它
抽取式衛生紙,住/其它
服貼水光肌套組,住/其它
空氣循環扇,住/其它
空間芬香油,住/其它
春風抽取式廚房紙巾,住/其它
柔芙抽取衛生紙,住/其它
洗手乳,住/其它
洗潔精,住/其它
洗髮精,住/其它
美姬輕柔按摩洗髮梳,住/其它
香水洗沐二合一,住/其它
倍潔雅柔軟舒適抽取式衛生紙,住/其它
家用品,住/其它
海倫仙度絲去屑洗,住/其它
海倫仙度絲去屑洗髮乳,住/其它
海倫仙度絲潔淨保濕去屑洗髮乳,住/其它
特福鍋具三件組,住/其它
租金,住/其它
