text,class
'自行車 防水 車包',行/自行車
'自行車 腳 踏板 更換',行/自行車
'自行車 鏈條 清潔 工具',行/自行車
'自行車 專用 車架安裝',行/自行車
'自行車 兒童 座椅 購買',行/自行車
'自行車 防曬座 墊',行/自行車
'自行車 專用鎖 密碼鎖',行/自行車
'自行車 騎行 眼鏡',行/自行車
'自行車 運動帽 頭巾',行/自行車
'自行車 風鏡 擋風',行/自行車
'自行車 反光 條購 買',行/自行車
'自行車 避震 系統 升級',行/自行車
'自行車 車座 海綿 墊',行/自行車
'自行車 專業 維修 工具',行/自行車
'自行車 打氣筒 購買',行/自行車
'自行車 摺 疊 工具包',行/自行車
'自行車 專用 車廂 置物箱',行/自行車
'自行車 車輪軸承購 買',行/自行車
'自行車 避震器 升級',行/自行車
'自行車 碟 煞 更換',行/自行車
'自行車 鏈條潤 滑劑 購買',行/自行車
'自行車 車燈 安裝 服務',行/自行車
'自行車 變速 系統 調整',行/自行車
'自行車 車 座套 購買',行/自行車
'自行車 水壺 架 固定器',行/自行車
'自行車 兒童 座椅 維修',行/自行車
'自行車 防水 車包購 買',行/自行車
'自行車 手把 維護',行/自行車
'自行車 輪胎 防滑 胎購 買',行/自行車
'自行車 車鈴 更換',行/自行車
'自行車 安全帽 清潔 服務',行/自行車
'自行車 專用 雨衣 購買',行/自行車
'自行車 專用 工具 組',行/自行車
'自行車 防盜 設備 安裝',行/自行車
'自行車 專用 騎行 襪',行/自行車
'自行車 手電筒 夜間 騎行',行/自行車
'自行車 停車 架安裝',行/自行車
'汽車 加油 95 無 鉛 汽油',行/汽車
'汽車 機油 更換',行/汽車
'汽車 停車費 地下 停車場',行/汽車
'高速公路 過路費 ETC 代扣',行/汽車
'汽車 保養 輪胎 更換',行/汽車
'汽車 美容 內裝 清潔',行/汽車
'汽車 雨刷 更換',行/汽車
'汽車 輪胎 平衡 調整',行/汽車
'高速公路 計次票 購買',行/汽車
'汽車 冷氣 濾網 更換',行/汽車
'汽車 GPS 導航系 統購 買',行/汽車
'汽車 行車 記錄器 購買',行/汽車
'汽車 電瓶 更換',行/汽車
'汽車 年 檢費用',行/汽車
'汽車 租賃 短期 租車',行/汽車
'汽車 機油 添加 劑',行/汽車
'汽車 刮水器 更換',行/汽車
'車內 空氣 清新 劑購 買',行/汽車
'汽車 輪胎 充氣 服務',行/汽車
'電動車 充電 服務',行/汽車
'車輛 拖吊 服務',行/汽車
'高速公路 服務區 停車費',行/汽車
'汽車 年檢 排放 測試費',行/汽車
'車內 除 濕袋 購買',行/汽車
'汽車 電子 狗 購買',行/汽車
'汽車 鑰匙 電池 更換',行/汽車
'汽車 內飾 清潔 服務',行/汽車
'汽車 冷氣 維修',行/汽車
'汽車 暖 風系統 檢修',行/汽車
'汽車 打蠟 美容',行/汽車
'汽車 輪圈 更換',行/汽車
'車窗 隔 熱紙 貼 膜',行/汽車
'車內導 航系統 更新',行/汽車
'自助 洗車機 使用 費',行/汽車
'車用 手機 支架 購買',行/汽車
'汽車 擋 風 玻璃 修 復',行/汽車
'汽車 避震器 更換',行/汽車
'汽車 剎車 盤維修',行/汽車
'車內 地毯 清洗 服務',行/汽車
'汽車 遙控器 購買',行/汽車
'車內 急救箱 購買',行/汽車
'汽車 應急 電源 購買',行/汽車
'汽車 香氛 片',行/汽車
'汽車 頂架安裝',行/汽車
'車輛 臨時泊 車費',行/汽車
'汽車 車內 香氛 擴散器',行/汽車
'汽車 電動 窗維 修費',行/汽車
'汽車 保養 全車 清潔',行/汽車
'車內 USB 充電裝置 購買',行/汽車
'汽車 空調 系統 清洗',行/汽車
'汽車 音響 設備 升級',行/汽車
'汽車後備 箱 儲物箱 購買',行/汽車
'汽車 車頂 行李架 安裝',行/汽車
'汽車 車窗 防爆膜 貼膜',行/汽車
'汽車 擋 風 玻璃 修補費',行/汽車
'汽車 內飾 除味 服務',行/汽車
'汽車 胎壓 監測 設備 購買',行/汽車
'車用 吸塵器 購買',行/汽車
'汽車 電瓶 充電 服務',行/汽車
'汽車 內飾 氛圍 燈安裝',行/汽車
'汽車 行李箱 內墊購 買',行/汽車
'車內手 機無線 充電 設備',行/汽車
'汽車 駕駛座 靠 墊 購買',行/汽車
'車輛 美容 鍍膜 服務',行/汽車
'車內 急救包 購買',行/汽車
'遊覽車 包車 服務',行/其它
'計程車 車資 台北市 區',行/其它
'客運車票 台北 花蓮',行/其它
'旅遊 巴士 票 環島 旅遊',行/其它
'停車場 月租 費 商業 大樓',行/其它
'95 無 鉛',行/其它
'95Plus 無 鉛',行/其它
'95 無 鉛',行/其它
'95 無 鉛 汽油',行/其它
'95 無 鉛 汽油',行/其它
'98 無 鉛 汽油',行/其它
'Parking fee',行/其它
'九二 無 鉛 汽油',行/其它
'九八 無 鉛',行/其它
'九八 無 鉛 汽油',行/其它
'九五 無 鉛 汽油',行/其它
'停車場 收入',行/其它
'停車場 費用',行/其它
停車費,行/其它
'停車 費用',行/其它
'業外 收入 停車場 新光 三越 停車場 收入',行/其它
'旅遊 巴士 導覽 行程',行/其它
'城市 觀光 小火 車票',行/其它
'豪華郵輪 船票 港澳 航線',行/其它
'客運 提早 訂票 折扣',行/其它
'客運站 內 行李 寄放 費',行/其它
'城市 共享 電動 滑板 車租賃',行/其它
'路邊 停車場 掃碼 繳費',行/其它
'碼頭 輪 渡船 票',行/其它
'夜間 計程車 加成 費',行/其它
'長 途 大巴 豪華 座票',行/其它
'客運車票 城際 交通',行/其它
'計程車 車資 夜間 加成',行/其它
'觀光 遊覽車 租賃費',行/其它
'碼頭 渡輪票 港口 間',行/其它
'城市 觀光 巴士 票',行/其它
'長 途 大巴 車票',行/其它
'旅遊 巴士 行程 含導覽',行/其它
'共享 電動 滑板 車費用',行/其它
'停車場 月票 商場 停車',行/其它
'移動 電源 租借 車站',行/其它
'租車 服務 商務車',行/其它
'短程 電動車 租借 費',行/其它
'豪華郵輪 船票 港口 巡遊',行/其它
'城市 輕軌 車票',行/其它
'路邊 停車場 計時費',行/其它
'電動 代步 車租賃費',行/其它
'停車場 超時 罰款',行/其它
'碼頭 貨物托運 服務',行/其它
'騎行 共享 單車 費用',行/其它
'共享 汽車 短租費',行/其它
'計程車 預約 服務費',行/其它
'旅遊 接駁 專車 費用',行/其它
'觀 光火 車票 懷舊 列車',行/其它
'旅遊 租車 保險 費用',行/其它
'觀光纜 車票',行/其它
'高山 滑雪 纜車票',行/其它
'市區 小型 巴士 票',行/其它
'旅遊景點 接駁 車票',行/其它
'跨境 大巴 車票',行/其它
'夜間 接送 服務費',行/其它
'計程車 拼車 服務',行/其它
'客運站 內 自動 售票 機購票',行/其它
'旅遊 巴士 私人 包車',行/其它
'路邊 停車 計時 收費',行/其它
'共享 電動 腳踏車 租借 費',行/其它
'旅遊景點 接駁 巴士 票',行/其它
'高速 客運 包月 票',行/其它
'城市交通 一卡通 充值',行/其它
'長 途 大巴 超重 行李 費',行/其它
'碼頭 輪渡 車票',行/其它
'豪華遊艇 包船 服務',行/其它
'客運車 內 飲料 購買',行/其它
'觀光纜 車票 山區 景點',行/其它
'計程車 預約費',行/其它
'觀光 遊覽 船票',行/其它
'旅遊 巴士 車票 折扣 券',行/其它
'旅遊 巴士 導遊 服務費',行/其它
'旅遊 大巴 臨時 購票費',行/其它
'夜間 巴士 票',行/其它
'國內 機票 台北 高雄',行/飛機
'國際 機票 桃園 東京',行/飛機
'機場 接駁 巴士 票',行/飛機
'託 運 行李 費用 超重 費',行/飛機
'飛機機 上餐 飲購 買',行/飛機
'飛機頭 等 艙 升 等 費用',行/飛機
'飛機 商務艙 貴賓室 使用',行/飛機
'機場 快速 通關 服務',行/飛機
'機場 行李 打包 服務',行/飛機
'國際 航班 登機 行李 超重 費',行/飛機
'飛機 機上 WiFi 使用 費',行/飛機
'飛機 機上 免稅品 購買',行/飛機
'機場 餐飲 消費 候機室',行/飛機
'飛機 行李 加購 額度',行/飛機
'機場 交通 接駁 計程車',行/飛機
'飛機 登機牌 補發 手續費',行/飛機
'機場 貴賓室 消費',行/飛機
'飛機 機上 電影 付費',行/飛機
'飛機 行李 超重 費用',行/飛機
'機場 接駁車 服務',行/飛機
'飛機 機上 餐點 升級',行/飛機
'飛機 機上 購物 免稅品',行/飛機
'機場 免費 Wi Fi 升級 服務',行/飛機
'飛機 寵物托運 服務',行/飛機
'機場 航廈 停車費',行/飛機
'飛機票 改期 手續費',行/飛機
'飛機票 退票 費用',行/飛機
'飛機 機上 按摩椅 使用 費',行/飛機
'機場 行李 推車 租賃',行/飛機
'機場 巴士 接送 服務',行/飛機
'飛機會員 積分 兌換 手續費',行/飛機
'機場 VIP 停車場 使用 費',行/飛機
'飛機 臨時票 候補票',行/飛機
'飛機 機上 耳 機購 買',行/飛機
'飛機 機上 閱讀 燈 租借',行/飛機
'飛機 機上 書籍 購買',行/飛機
'飛機頭 等 艙 休息室 使用',行/飛機
'飛機 延誤 保險 購買',行/飛機
'飛機 票務 代理 服務費',行/飛機
'機場 行李箱 打 包膜',行/飛機
'飛機 機上 急救 藥品 購買',行/飛機
'機場 免費 巴士 服務',行/飛機
'飛機 機上 飲 用水 購買',行/飛機
'飛機 快速 登機 通道 費用',行/飛機
'機場 行李 打包 塑膜 服務',行/飛機
'飛機 機上 購物 香水',行/飛機
'飛機 行李 額度 加購',行/飛機
'飛機 機上 即 時 翻譯 服務',行/飛機
'機場 休息室 淋浴 服務',行/飛機
'飛機票 升 等 手續費',行/飛機
'飛機 行李箱 標 籤 購買',行/飛機
'機場 接駁 車票',行/飛機
'飛機 機上 充電 設備 租借',行/飛機
'飛機 機上 餐點 加點',行/飛機
'飛機 寵物籠 租借 服務',行/飛機
'機場 中轉 酒店 住宿',行/飛機
'飛機頭 等 艙 行李 優 先服 務',行/飛機
'飛機 機上 毛毯 租用 費',行/飛機
'機場 VIP 巴士 接送 服務',行/飛機
'飛機 延誤 補償 服務',行/飛機
'機場 免稅 商品 預訂 服務',行/飛機
'飛機 緊急 通話 服務費',行/飛機
'機場 快速 過海關 服務',行/飛機
'高鐵 車票 台北 台中',行/高鐵
'高鐵 月票 通勤 優惠',行/高鐵
'高鐵 早鳥票 新竹 左營',行/高鐵
'高鐵 自由 座 車票',行/高鐵
'高鐵 行李 託 運費',行/高鐵
'高鐵 定期 票 桃園 台北',行/高鐵
'高鐵 商務車 廂票',行/高鐵
'高鐵 學生 優惠票 台南 左營',行/高鐵
'高鐵 長 者 優惠票 高雄 台中',行/高鐵
'高鐵 信用卡 紅利 兌換票',行/高鐵
'高鐵 聯票 高鐵 台鐵',行/高鐵
'高鐵 年票 企業 通勤 方案',行/高鐵
'高鐵 特定 時段 優惠票 週末 限定',行/高鐵
'高鐵 週票 五日 通勤 專用',行/高鐵
'高鐵 站 內 便 當購 買',行/高鐵
'高鐵 定期 通勤 票',行/高鐵
'高鐵 假日 自由 行 套票',行/高鐵
'高鐵 旅行 套票 高鐵 住宿',行/高鐵
'高鐵 學生票 學期 通行',行/高鐵
'高鐵 公司 團體票',行/高鐵
'高鐵 車站 寄物 服務',行/高鐵
'高鐵 商務車 廂升 等',行/高鐵
'高鐵 接駁 巴士 票',行/高鐵
'高鐵 車站 內 小吃 購買',行/高鐵
'高鐵 網路 購票 手續費',行/高鐵
'高鐵 電子票 卡 充值',行/高鐵
'高鐵 殘障 人士 優惠票',行/高鐵
'高鐵 行李 運送 服務',行/高鐵
'高鐵 月台 拍 攝許 可',行/高鐵
'高鐵 VIP 候車室 入場',行/高鐵
'高鐵 早鳥 優惠票',行/高鐵
'高鐵 親子票 家庭 優惠',行/高鐵
'高鐵 員 工票 公司 福利',行/高鐵
'高鐵 夜間 列車票',行/高鐵
'高鐵 列車 內 購物',行/高鐵
'高鐵 國際遊 客卡',行/高鐵
'高鐵 長 距 離票 跨縣 市',行/高鐵
'高鐵 週末票 雙日 通行',行/高鐵
'高鐵 觀光團 體票',行/高鐵
'高鐵 車廂 內 飲料 購買',行/高鐵
'高鐵 公司 年票',行/高鐵
'高鐵 短程 通勤 票',行/高鐵
'高鐵 行李 寄存 費',行/高鐵
'高鐵 臨時票 即時 購買',行/高鐵
'高鐵 自助 售票 機購票',行/高鐵
'高鐵 站 內 行李 寄存 服務',行/高鐵
'高鐵 兒童 車廂票',行/高鐵
'高鐵 VIP 會員年 卡',行/高鐵
'高鐵 聯名 信用卡 兌換票',行/高鐵
'高鐵 行李 車廂 預訂',行/高鐵
'高鐵 車站 接駁 計程車 服務',行/高鐵
'高鐵 自由 座升級 為 指定 座位',行/高鐵
'高鐵 殘障 座位 預約',行/高鐵
'高鐵 行李 超 大件 費用',行/高鐵
'高鐵 特殊 行程 拍 攝許 可',行/高鐵
'高鐵 員工 親屬 優惠票',行/高鐵
'高鐵 無線 網路 使用 費',行/高鐵
'高鐵 專屬 包車 服務',行/高鐵
'高鐵 週年慶 優惠票',行/高鐵
'高鐵 臨時 改票 手續費',行/高鐵
'高鐵 商務車 廂 早餐',行/高鐵
'高鐵 週末 返鄉 專案 票',行/高鐵
'高鐵 環保杯 購買 車內',行/高鐵
'高鐵 車站 自助 行李 秤',行/高鐵
'機車 加油 92 無 鉛 汽油',行/機車
'機車 機油 更換',行/機車
'機車 停車費 機車格',行/機車
'機車 安全帽 購買',行/機車
'機車 行車 保險費',行/機車
'機車 煞 車片 更換',行/機車
'機車 大燈 燈泡 購買',行/機車
'機車 鏈條 保養',行/機車
'機車 輪胎 更換',行/機車
'機車 車廂維修',行/機車
'機車 腳踏墊 購買',行/機車
'機車 停車 棚 月租 費',行/機車
'機車 牌照 登記費',行/機車
'機車 洗車 服務',行/機車
'機車 租賃 短期 租車',行/機車
'機車後視鏡 更換',行/機車
'機車 鍊 條上 油',行/機車
'機車 座 墊 防水 套',行/機車
'機車 電池 維修',行/機車
'機車 剎車 把手 更換',行/機車
'機車 行李箱 安裝',行/機車
'機車 風鏡 清潔',行/機車
'機車後座 靠背 購買',行/機車
'機車 行車 記錄器',行/機車
'機車 輪胎 補胎 服務',行/機車
'機車 排氣管 修理',行/機車
'機車 雨衣 購買',行/機車
'機車 防盜鎖',行/機車
'機車 皮帶 更換',行/機車
'機車 安全 反光 貼',行/機車
'機車 煞 車油 更換',行/機車
'機車 車罩 購買',行/機車
'機車 腳 踏板 維修',行/機車
'機車 車廂 墊',行/機車
'機車 防滑 握把',行/機車
'機車 車架 噴漆',行/機車
'機車 輪圈 清潔劑',行/機車
'機車 座 墊 軟 墊',行/機車
'機車後座 安全 帶',行/機車
'機車 加速器 修理',行/機車
'機車 胎壓 計購 買',行/機車
'機車 腳架 更換',行/機車
'機車 音響 系統',行/機車
'機車 擋 泥板 修 復',行/機車
'機車 手機 支架 購買',行/機車
'機車 腳踏墊 更換',行/機車
'機車 行李 網購 買',行/機車
'機車 排氣 管升級',行/機車
'機車 鑰匙 扣購 買',行/機車
'機車 安全帽 清洗 服務',行/機車
'機車車 輪軸承 更換',行/機車
'機車 車頭燈 調整',行/機車
'機車 車架 噴漆 服務',行/機車
'機車 避震器 維修',行/機車
'機車 行李箱 更換',行/機車
'機車 剎車 片維護',行/機車
'機車 風鏡安裝',行/機車
'機車 座 墊 升級 防水 款',行/機車
'機車 防滑 把手 購買',行/機車
'機車 鍊 條清潔 工具',行/機車
'機車 輪胎 加壓 服務',行/機車
'機車 電瓶 救援 服務',行/機車
'機車 騎行 手套 購買',行/機車
'機車 雨具 防水 套裝',行/機車
