消費品項,class
自行車專用車廂（置物箱）,行/自行車
自行車車輪軸承購買,行/自行車
自行車避震器升級,行/自行車
自行車碟煞更換,行/自行車
自行車鏈條潤滑劑購買,行/自行車
自行車車燈安裝服務,行/自行車
自行車變速系統調整,行/自行車
自行車車座套購買,行/自行車
自行車水壺架固定器,行/自行車
自行車兒童座椅維修,行/自行車
自行車防水車包購買,行/自行車
自行車手把維護,行/自行車
自行車輪胎防滑胎購買,行/自行車
自行車車鈴更換,行/自行車
自行車安全帽清潔服務,行/自行車
自行車專用雨衣購買,行/自行車
自行車專用工具組,行/自行車
自行車防盜設備安裝,行/自行車
自行車專用騎行襪,行/自行車
自行車手電筒（夜間騎行）,行/自行車
自行車停車架安裝,行/自行車
飛機快速登機通道費用,行/飛機
汽車加油（95 無鉛汽油）,行/汽車
汽車機油更換,行/汽車
汽車停車費（地下停車場）,行/汽車
高速公路過路費（ETC 代扣）,行/汽車
汽車保養（輪胎更換）,行/汽車
汽車美容（內裝清潔）,行/汽車
汽車雨刷更換,行/汽車
汽車輪胎平衡調整,行/汽車
高速公路計次票購買,行/汽車
汽車冷氣濾網更換,行/汽車
汽車GPS導航系統購買,行/汽車
汽車行車記錄器購買,行/汽車
汽車電瓶更換,行/汽車
汽車年檢費用,行/汽車
汽車租賃（短期租車）,行/汽車
汽車機油添加劑,行/汽車
汽車刮水器更換,行/汽車
車內空氣清新劑購買,行/汽車
汽車輪胎充氣服務,行/汽車
電動車充電服務,行/汽車
車輛拖吊服務,行/汽車
高速公路服務區停車費,行/汽車
汽車年檢排放測試費,行/汽車
車內除濕袋購買,行/汽車
汽車電子狗購買,行/汽車
汽車鑰匙電池更換,行/汽車
汽車內飾清潔服務,行/汽車
汽車冷氣維修,行/汽車
汽車暖風系統檢修,行/汽車
汽車打蠟美容,行/汽車
汽車輪圈更換,行/汽車
車窗隔熱紙貼膜,行/汽車
車內導航系統更新,行/汽車
自助洗車機使用費,行/汽車
車用手機支架購買,行/汽車
汽車擋風玻璃修復,行/汽車
汽車避震器更換,行/汽車
汽車剎車盤維修,行/汽車
車內地毯清洗服務,行/汽車
汽車遙控器購買,行/汽車
車內急救箱購買,行/汽車
汽車應急電源購買,行/汽車
汽車香氛片,行/汽車
汽車頂架安裝,行/汽車
車輛臨時泊車費,行/汽車
汽車車內香氛擴散器,行/汽車
汽車電動窗維修費,行/汽車
汽車保養（全車清潔）,行/汽車
車內USB充電裝置購買,行/汽車
汽車空調系統清洗,行/汽車
汽車音響設備升級,行/汽車
汽車後備箱儲物箱購買,行/汽車
汽車車頂行李架安裝,行/汽車
汽車車窗防爆膜貼膜,行/汽車
汽車擋風玻璃修補費,行/汽車
汽車內飾除味服務,行/汽車
汽車胎壓監測設備購買,行/汽車
車用吸塵器購買,行/汽車
汽車電瓶充電服務,行/汽車
汽車內飾氛圍燈安裝,行/汽車
汽車行李箱內墊購買,行/汽車
車內手機無線充電設備,行/汽車
汽車駕駛座靠墊購買,行/汽車
車輛美容（鍍膜服務）,行/汽車
車內急救包購買,行/汽車
遊覽車包車服務,行/其它
計程車車資（台北市區）,行/其它
客運車票（台北 → 花蓮）,行/其它
旅遊巴士票（環島旅遊）,行/其它
停車場月租費（商業大樓）,行/其它
95+無鉛,行/其它
95Plus無鉛,行/其它
95無鉛,行/其它
95無鉛汽油,行/其它
９５無鉛汽油,行/其它
98無鉛汽油,行/其它
Parking fee,行/其它
九二無鉛汽油,行/其它
九八無鉛,行/其它
九八無鉛汽油,行/其它
九五無鉛汽油,行/其它
停車場收入,行/其它
停車場費用,行/其它
停車費,行/其它
停車費用,行/其它
業外收入.停車場-新光三越-停車場收入,行/其它
旅遊巴士導覽行程,行/其它
城市觀光小火車票,行/其它
豪華郵輪船票（港澳航線）,行/其它
客運提早訂票折扣,行/其它
客運站內行李寄放費,行/其它
城市共享電動滑板車租賃,行/其它
路邊停車場掃碼繳費,行/其它
碼頭輪渡船票,行/其它
夜間計程車加成費,行/其它
長途大巴豪華座票,行/其它
客運車票（城際交通）,行/其它
計程車車資（夜間加成）,行/其它
觀光遊覽車租賃費,行/其它
碼頭渡輪票（港口間）,行/其它
城市觀光巴士票,行/其它
長途大巴車票,行/其它
旅遊巴士行程（含導覽）,行/其它
共享電動滑板車費用,行/其它
停車場月票（商場停車）,行/其它
移動電源租借（車站）,行/其它
租車服務（商務車）,行/其它
短程電動車租借費,行/其它
豪華郵輪船票（港口巡遊）,行/其它
城市輕軌車票,行/其它
路邊停車場計時費,行/其它
電動代步車租賃費,行/其它
停車場超時罰款,行/其它
碼頭貨物托運服務,行/其它
騎行共享單車費用,行/其它
共享汽車短租費,行/其它
計程車預約服務費,行/其它
旅遊接駁專車費用,行/其它
觀光火車票（懷舊列車）,行/其它
旅遊租車保險費用,行/其它
觀光纜車票,行/其它
高山滑雪纜車票,行/其它
市區小型巴士票,行/其它
旅遊景點接駁車票,行/其它
跨境大巴車票,行/其它
夜間接送服務費,行/其它
計程車拼車服務,行/其它
客運站內自動售票機購票,行/其它
旅遊巴士私人包車,行/其它
路邊停車計時收費,行/其它
城市觀光小火車票,行/其它
共享電動腳踏車租借費,行/其它
旅遊景點接駁巴士票,行/其它
高速客運包月票,行/其它
城市交通一卡通充值,行/其它
長途大巴超重行李費,行/其它
碼頭輪渡車票,行/其它
豪華遊艇包船服務,行/其它
客運車內飲料購買,行/其它
觀光纜車票（山區景點）,行/其它
計程車預約費,行/其它
觀光遊覽船票,行/其它
旅遊巴士車票折扣券,行/其它
旅遊巴士導遊服務費,行/其它
旅遊大巴臨時購票費,行/其它
夜間巴士票,行/其它
國內機票（台北 → 高雄）,行/飛機
國際機票（桃園 → 東京）,行/飛機
機場接駁巴士票,行/飛機
託運行李費用（超重費）,行/飛機
飛機機上餐飲購買,行/飛機
飛機頭等艙升等費用,行/飛機
飛機商務艙貴賓室使用,行/飛機
機場快速通關服務,行/飛機
機場行李打包服務,行/飛機
國際航班登機行李超重費,行/飛機
飛機機上WiFi使用費,行/飛機
飛機機上免稅品購買,行/飛機
機場餐飲消費（候機室）,行/飛機
飛機行李加購額度,行/飛機
機場交通接駁（計程車）,行/飛機
飛機登機牌補發手續費,行/飛機
機場行李打包服務,行/飛機
機場貴賓室消費,行/飛機
飛機機上電影付費,行/飛機
機場快速通關服務,行/飛機
飛機行李超重費用,行/飛機
機場接駁車服務,行/飛機
飛機機上餐點升級,行/飛機
飛機機上購物（免稅品）,行/飛機
機場免費Wi-Fi升級服務,行/飛機
飛機寵物托運服務,行/飛機
機場航廈停車費,行/飛機
飛機票改期手續費,行/飛機
飛機票退票費用,行/飛機
飛機機上按摩椅使用費,行/飛機
機場行李推車租賃,行/飛機
機場巴士接送服務,行/飛機
飛機會員積分兌換手續費,行/飛機
機場VIP停車場使用費,行/飛機
飛機臨時票（候補票）,行/飛機
飛機機上耳機購買,行/飛機
飛機機上閱讀燈租借,行/飛機
飛機機上書籍購買,行/飛機
飛機頭等艙休息室使用,行/飛機
飛機延誤保險購買,行/飛機
飛機票務代理服務費,行/飛機
機場行李箱打包膜,行/飛機
飛機機上急救藥品購買,行/飛機
機場免費巴士服務,行/飛機
飛機機上飲用水購買,行/飛機
機場行李打包塑膜服務,行/飛機
飛機機上購物（香水）,行/飛機
飛機行李額度加購,行/飛機
飛機機上即時翻譯服務,行/飛機
機場休息室淋浴服務,行/飛機
飛機票升等手續費,行/飛機
飛機行李箱標籤購買,行/飛機
機場接駁車票,行/飛機
飛機機上充電設備租借,行/飛機
飛機機上餐點加點,行/飛機
飛機寵物籠租借服務,行/飛機
機場中轉酒店住宿,行/飛機
飛機頭等艙行李優先服務,行/飛機
飛機機上毛毯租用費,行/飛機
機場VIP巴士接送服務,行/飛機
飛機延誤補償服務,行/飛機
機場免稅商品預訂服務,行/飛機
飛機緊急通話服務費,行/飛機
機場快速過海關服務,行/飛機
高鐵車票（台北 → 台中）,行/高鐵
高鐵月票（通勤優惠）,行/高鐵
高鐵早鳥票（新竹 → 左營）,行/高鐵
高鐵自由座車票,行/高鐵
高鐵行李託運費,行/高鐵
高鐵定期票（桃園 → 台北）,行/高鐵
高鐵商務車廂票,行/高鐵
高鐵學生優惠票（台南 → 左營）,行/高鐵
高鐵長者優惠票（高雄 → 台中）,行/高鐵
高鐵信用卡紅利兌換票,行/高鐵
高鐵聯票（高鐵 + 台鐵）,行/高鐵
高鐵年票（企業通勤方案）,行/高鐵
高鐵特定時段優惠票（週末限定）,行/高鐵
高鐵週票（五日通勤專用）,行/高鐵
高鐵站內便當購買,行/高鐵
高鐵定期通勤票,行/高鐵
高鐵假日自由行套票,行/高鐵
高鐵聯票（高鐵 + 台鐵）,行/高鐵
高鐵旅行套票（高鐵 + 住宿）,行/高鐵
高鐵學生票（學期通行）,行/高鐵
高鐵公司團體票,行/高鐵
高鐵車站寄物服務,行/高鐵
高鐵商務車廂升等,行/高鐵
高鐵接駁巴士票,行/高鐵
高鐵車站內小吃購買,行/高鐵
高鐵網路購票手續費,行/高鐵
高鐵電子票卡充值,行/高鐵
高鐵殘障人士優惠票,行/高鐵
高鐵行李運送服務,行/高鐵
高鐵月台拍攝許可,行/高鐵
高鐵VIP候車室入場,行/高鐵
高鐵早鳥優惠票,行/高鐵
高鐵親子票（家庭優惠）,行/高鐵
高鐵員工票（公司福利）,行/高鐵
高鐵夜間列車票,行/高鐵
高鐵列車內購物,行/高鐵
高鐵國際遊客卡,行/高鐵
高鐵長距離票（跨縣市）,行/高鐵
高鐵週末票（雙日通行）,行/高鐵
高鐵觀光團體票,行/高鐵
高鐵車廂內飲料購買,行/高鐵
高鐵公司年票,行/高鐵
高鐵短程通勤票,行/高鐵
高鐵行李寄存費,行/高鐵
高鐵臨時票（即時購買）,行/高鐵
高鐵自助售票機購票,行/高鐵
高鐵站內行李寄存服務,行/高鐵
高鐵兒童車廂票,行/高鐵
高鐵VIP會員年卡,行/高鐵
高鐵聯名信用卡兌換票,行/高鐵
高鐵行李車廂預訂,行/高鐵
高鐵車站接駁計程車服務,行/高鐵
高鐵自由座升級為指定座位,行/高鐵
高鐵殘障座位預約,行/高鐵
高鐵行李超大件費用,行/高鐵
高鐵特殊行程拍攝許可,行/高鐵
高鐵員工親屬優惠票,行/高鐵
高鐵無線網路使用費,行/高鐵
高鐵專屬包車服務,行/高鐵
高鐵週年慶優惠票,行/高鐵
高鐵臨時改票手續費,行/高鐵
高鐵商務車廂早餐,行/高鐵
高鐵週末返鄉專案票,行/高鐵
高鐵環保杯購買（車內）,行/高鐵
高鐵車站自助行李秤,行/高鐵
機車加油（92 無鉛汽油）,行/機車
機車機油更換,行/機車
機車停車費（機車格）,行/機車
機車安全帽購買,行/機車
機車行車保險費,行/機車
機車煞車片更換,行/機車
機車大燈燈泡購買,行/機車
機車鏈條保養,行/機車
機車輪胎更換,行/機車
機車車廂維修,行/機車
機車腳踏墊購買,行/機車
機車停車棚月租費,行/機車
機車牌照登記費,行/機車
機車洗車服務,行/機車
機車租賃（短期租車）,行/機車
機車後視鏡更換,行/機車
機車鍊條上油,行/機車
機車座墊防水套,行/機車
機車大燈燈泡購買,行/機車
機車電池維修,行/機車
機車剎車把手更換,行/機車
機車行李箱安裝,行/機車
機車風鏡清潔,行/機車
機車後座靠背購買,行/機車
機車行車記錄器,行/機車
機車輪胎補胎服務,行/機車
機車排氣管修理,行/機車
機車雨衣購買,行/機車
機車防盜鎖,行/機車
機車皮帶更換,行/機車
機車安全反光貼,行/機車
機車煞車油更換,行/機車
機車車罩購買,行/機車
機車腳踏板維修,行/機車
機車車廂墊,行/機車
機車防滑握把,行/機車
機車車架噴漆,行/機車
機車輪圈清潔劑,行/機車
機車座墊軟墊,行/機車
機車後座安全帶,行/機車
機車加速器修理,行/機車
機車胎壓計購買,行/機車
機車腳架更換,行/機車
機車音響系統,行/機車
機車擋泥板修復,行/機車
機車手機支架購買,行/機車
機車腳踏墊更換,行/機車
機車行李網購買,行/機車
機車排氣管升級,行/機車
機車鑰匙扣購買,行/機車
機車安全帽清洗服務,行/機車
機車車輪軸承更換,行/機車
機車車頭燈調整,行/機車
機車車架噴漆服務,行/機車
機車避震器維修,行/機車
機車行李箱更換,行/機車
機車剎車片維護,行/機車
機車風鏡安裝,行/機車
機車座墊升級（防水款）,行/機車
機車防滑把手購買,行/機車
機車鍊條清潔工具,行/機車
機車輪胎加壓服務,行/機車
機車電瓶救援服務,行/機車
機車騎行手套購買,行/機車
機車雨具（防水套裝）,行/機車
